code,name,industry,peer_count,revenue_q2_yoy_peer_rank,revenue_q2_yoy_peer_pct,net_profit_q2_yoy_peer_rank,net_profit_q2_yoy_peer_pct,gross_margin_delta_peer_rank,gross_margin_delta_peer_pct,roe_h1_2026_peer_rank,roe_h1_2026_peer_pct,ocf_total_ratio_peer_rank,ocf_total_ratio_peer_pct,preliminary_convexity_score_peer_rank,preliminary_convexity_score_peer_pct,pe_dynamic_peer_rank,pe_dynamic_peer_pct,peer_quality_score,top_peers_json
600267,海正药业,化学制药,157,129,0.16883116883116883,26,0.8407643312101911,8,0.9548387096774194,24,0.8525641025641025,69,0.5668789808917197,2,0.9936305732484076,41.0,0.6296296296296297,71.53,"[{""code"": ""300765"", ""name"": ""石药创新"", ""score"": 82.39}, {""code"": ""600267"", ""name"": ""海正药业"", ""score"": 81.31}, {""code"": ""688166"", ""name"": ""博瑞医药"", ""score"": 80.33}, {""code"": ""688758"", ""name"": ""赛分科技"", ""score"": 79.61}, {""code"": ""688505"", ""name"": ""复旦张江"", ""score"": 75.46}]"
688090,瑞松科技,自动化设备,95,5,0.956989247311828,12,0.8817204301075269,18,0.8210526315789474,36,0.631578947368421,15,0.8526315789473684,1,1.0,73.0,0.04,74.06,"[{""code"": ""688090"", ""name"": ""瑞松科技"", ""score"": 81.28}, {""code"": ""920125"", ""name"": ""鸿仕达"", ""score"": 77.08}, {""code"": ""688218"", ""name"": ""江苏北人"", ""score"": 76.37}, {""code"": ""002979"", ""name"": ""雷赛智能"", ""score"": 76.09}, {""code"": ""688320"", ""name"": ""禾川科技"", ""score"": 75.27}]"
300209,行云科技,软件开发,133,1,1.0,1,0.9962406015037594,6,0.9624060150375939,35,0.7443609022556391,5,0.9699248120300752,1,1.0,,,94.55,"[{""code"": ""300209"", ""name"": ""行云科技"", ""score"": 80.92}, {""code"": ""688095"", ""name"": ""福昕软件"", ""score"": 74.22}, {""code"": ""601360"", ""name"": ""三六零"", ""score"": 73.23}, {""code"": ""601519"", ""name"": ""大智慧"", ""score"": 71.42}, {""code"": ""600654"", ""name"": ""中安科"", ""score"": 70.29}]"
605289,罗曼股份,专业工程,39,1,1.0,1,1.0,28,0.3076923076923077,3,0.9459459459459459,4,0.9230769230769231,1,1.0,29.0,0.15151515151515152,76.12,"[{""code"": ""605289"", ""name"": ""罗曼股份"", ""score"": 80.88}, {""code"": ""002135"", ""name"": ""东南网架"", ""score"": 73.63}, {""code"": ""603929"", ""name"": ""亚翔集成"", ""score"": 73.26}, {""code"": ""603163"", ""name"": ""圣晖集成"", ""score"": 73.1}, {""code"": ""000065"", ""name"": ""北方国际"", ""score"": 72.9}]"
603091,众鑫股份,包装印刷,47,2,0.9787234042553191,5,0.9148936170212766,11,0.7872340425531915,2,0.9787234042553191,25,0.48936170212765956,1,1.0,7.0,0.8181818181818182,85.24,"[{""code"": ""603091"", ""name"": ""众鑫股份"", ""score"": 80.87}, {""code"": ""003018"", ""name"": ""金富科技"", ""score"": 77.96}, {""code"": ""002799"", ""name"": ""环球印务"", ""score"": 73.65}, {""code"": ""002752"", ""name"": ""昇兴股份"", ""score"": 71.41}, {""code"": ""603687"", ""name"": ""大胜达"", ""score"": 70.54}]"
688108,赛诺医疗,医疗器械,139,33,0.7697841726618705,16,0.8920863309352518,8,0.9496402877697842,33,0.7697841726618705,26,0.8201438848920863,3,0.9856115107913669,90.0,0.13592233009708737,76.04,"[{""code"": ""002382"", ""name"": ""蓝帆医疗"", ""score"": 83.56}, {""code"": ""300981"", ""name"": ""中红医疗"", ""score"": 81.72}, {""code"": ""688108"", ""name"": ""赛诺医疗"", ""score"": 80.87}, {""code"": ""300482"", ""name"": ""万孚生物"", ""score"": 78.76}, {""code"": ""688139"", ""name"": ""海尔生物"", ""score"": 77.73}]"
600872,中炬高新,调味发酵品Ⅱ,15,4,0.8,4,0.8,2,0.9333333333333333,6,0.6666666666666666,4,0.8,1,1.0,6.0,0.6428571428571429,80.61,"[{""code"": ""600872"", ""name"": ""中炬高新"", ""score"": 80.85}, {""code"": ""603027"", ""name"": ""千禾味业"", ""score"": 80.67}, {""code"": ""603317"", ""name"": ""天味食品"", ""score"": 75.23}, {""code"": ""600186"", ""name"": ""莲花控股"", ""score"": 67.51}, {""code"": ""600298"", ""name"": ""安琪酵母"", ""score"": 67.14}]"
600354,敦煌种业,种植业,21,1,1.0,2,0.9523809523809523,6,0.7619047619047619,2,0.9523809523809523,13,0.42857142857142855,1,1.0,11.0,0.4117647058823529,78.67,"[{""code"": ""600354"", ""name"": ""敦煌种业"", ""score"": 80.78}, {""code"": ""600540"", ""name"": ""新赛股份"", ""score"": 71.51}, {""code"": ""600313"", ""name"": ""农发种业"", ""score"": 69.82}, {""code"": ""002772"", ""name"": ""众兴菌业"", ""score"": 64.41}, {""code"": ""300970"", ""name"": ""华绿生物"", ""score"": 64.36}]"
688211,中科微至,专用设备,203,96,0.5297029702970297,14,0.9356435643564357,8,0.9655172413793104,147,0.27722772277227725,14,0.9359605911330049,1,1.0,,,77.4,"[{""code"": ""688211"", ""name"": ""中科微至"", ""score"": 80.76}, {""code"": ""688328"", ""name"": ""深科达"", ""score"": 78.43}, {""code"": ""300307"", ""name"": ""慈星股份"", ""score"": 75.54}, {""code"": ""600499"", ""name"": ""科达制造"", ""score"": 75.47}, {""code"": ""300833"", ""name"": ""浩洋股份"", ""score"": 75.43}]"
600201,生物股份,动物保健Ⅱ,12,1,1.0,1,1.0,4,0.75,7,0.5,10,0.25,1,1.0,7.0,0.3333333333333333,69.05,"[{""code"": ""600201"", ""name"": ""生物股份"", ""score"": 80.7}, {""code"": ""300871"", ""name"": ""回盛生物"", ""score"": 70.75}, {""code"": ""600195"", ""name"": ""中牧股份"", ""score"": 63.3}, {""code"": ""688526"", ""name"": ""科前生物"", ""score"": 59.62}, {""code"": ""002868"", ""name"": ""绿康生化"", ""score"": 58.91}]"
603027,千禾味业,调味发酵品Ⅱ,15,2,0.9333333333333333,2,0.9333333333333333,6,0.6666666666666666,9,0.4666666666666667,3,0.8666666666666667,2,0.9333333333333333,8.0,0.5,75.71,"[{""code"": ""600872"", ""name"": ""中炬高新"", ""score"": 80.85}, {""code"": ""603027"", ""name"": ""千禾味业"", ""score"": 80.67}, {""code"": ""603317"", ""name"": ""天味食品"", ""score"": 75.23}, {""code"": ""600186"", ""name"": ""莲花控股"", ""score"": 67.51}, {""code"": ""600298"", ""name"": ""安琪酵母"", ""score"": 67.14}]"
601969,海南矿业,油气开采Ⅱ,5,3,0.6,2,0.8,2,0.8,2,0.8,5,0.2,1,1.0,4.0,0.4,65.71,"[{""code"": ""601969"", ""name"": ""海南矿业"", ""score"": 80.64}, {""code"": ""600759"", ""name"": ""ST洲际"", ""score"": 65.25}, {""code"": ""600938"", ""name"": ""中国海油"", ""score"": 62.56}, {""code"": ""000968"", ""name"": ""蓝焰控股"", ""score"": 61.05}, {""code"": ""600777"", ""name"": ""新潮能源"", ""score"": 50.6}]"
