code,blind_id,preliminary_rank,primary_model,fundamental_acceleration_score,new_profit_pool_score,cycle_inflection_score,capital_event_score,preliminary_convexity_score
603162,22c8870fc800,1,基本面加速,85.12626925890537,65.94929545599742,70.78233320279763,83.8662651462286,85.73470823466009
300483,e3ca49423b75,2,基本面加速,84.284800322894,65.36653440205636,81.28792897978894,83.02573617557427,85.38430743403303
600095,58ffd3e26a76,3,资本事件,77.02465204869125,63.46094584605058,67.53719865571239,82.97794275569737,83.88428969179034
002382,e159267f6c2f,4,周期拐点,80.27191513805043,65.23256336491204,81.09817881895756,64.8512117766568,83.55525022653977
003032,169f3bcf805e,5,基本面加速,81.3535684013167,65.57188350730961,79.15303604533733,32.41224326381693,83.39673802655356
688331,c5c3911c20e3,6,基本面加速,84.1502499694322,61.13327778911043,75.85112340639897,82.07157563028625,83.12875317693728
300215,001851f9c13c,7,周期拐点,75.68030281699232,58.56302992959651,81.11605007859531,35.415523440625165,82.84072865432024
600971,eeb3b975ed88,8,基本面加速,80.88940649485491,62.74642119904487,80.87215608642,71.43964055277404,82.49859781213317
688110,debfd9d7e1ca,9,资本事件,76.14701758492632,56.00525015146815,67.05630243319904,87.23521829820557,82.46502910908343
688766,9267ed4aaad2,10,资本事件,73.37663448637876,51.72176972391488,49.53230829709207,87.55161085525104,82.4136764714219
300765,cc2a4ff1a845,11,基本面加速,89.25087727869739,67.14348591586271,67.74892155004001,48.241964200506025,82.39371870459723
688378,214452f194d4,12,基本面加速,79.10265748574328,69.53340314593112,61.425320508380864,77.88649756609128,82.20582375826712
000525,b91b9fcb3fcb,13,基本面加速,80.54360509647569,65.97313584703608,74.40940513305257,72.77632765757832,81.88990053301119
600810,ba6a76428fc9,14,资本事件,69.53818940137609,58.72844516276502,77.32174059493997,80.95809712822698,81.87308640804741
920571,0ae32c34735b,15,基本面加速,82.85010018209698,63.90687412775349,70.6937481417874,65.88784933740351,81.82095438560161
000612,2f0a8e1f9bb7,16,资本事件,70.49997302047022,46.727148163871774,63.95393629132242,86.81406524186671,81.79438966747654
300981,629d702560e5,17,基本面加速,78.37321455408335,62.90430907173415,77.48993345459824,39.148202546959645,81.72264724582269
600566,b4176f36168f,18,资本事件,61.8133727881199,63.388950300361316,65.22115894934338,89.72306468079391,81.64498524658669
000603,234c586b5ca6,19,资本事件,73.43461025389401,54.95849315220301,54.447995261508254,79.39521215568143,81.58950760435651
600841,21a16acd474c,20,周期拐点,71.70223553385823,54.81681803043637,81.39244292671862,62.81597882183061,81.56335718139546
600267,5a5a55d20ca1,21,资本事件,64.78745754727943,59.41369881499655,67.14875435645833,84.93859944617083,81.30525358159444
688090,b3d2db7c2795,22,资本事件,69.5427636194022,53.15392188546212,55.64335965846343,84.5506551303859,81.27900242228571
300209,125d66793a45,23,资本事件,79.46206929335293,70.33401642929036,66.66280131427548,80.26479115362909,80.92387763784875
605289,ec482f5d3d95,24,资本事件,75.206913454046,55.897801700224825,65.86060828581823,84.77250094269722,80.88388291313844
603091,f7445b5053e1,25,资本事件,74.75507135853778,62.20116291410904,60.785320836507054,80.88066728093311,80.87403483440377
688108,d71e6557bdd4,26,资本事件,61.734097255423606,48.02433572218916,52.81942499210949,85.88973142239792,80.86578897744397
600872,14075300116f,27,资本事件,70.00409519737651,51.51922489036917,60.905056251971125,83.35890052291232,80.84548384017093
600354,db7f46517a1e,28,基本面加速,82.19675883169721,61.842517115845496,71.06027494663519,64.21369892280065,80.776024850397
688211,25f402de936f,29,资本事件,64.9618709885157,53.228338567616326,73.20402545930975,79.0355331896919,80.75761136190418
600201,2129bb00e445,30,资本事件,70.29828607862363,61.963600118462146,70.745193852073,81.56668850488597,80.70328558960588
603027,d59ac9af3a32,31,资本事件,75.88113724780055,61.19138980163022,66.19415969950538,80.93448980543295,80.67169237557327
601969,decbfee78658,32,资本事件,74.40155242754585,62.841999226616885,58.638414416828866,82.20819740607716,80.63994839273403
000629,f5c5798adc0f,33,周期拐点,72.43663441778722,54.59704876474362,78.98006895837995,37.87991591125825,80.56228991360037
688166,63f3794cfa42,34,资本事件,67.52216373651709,64.62114479631165,57.5387564216191,81.01742065540152,80.33272397459781
300587,18b261a59f4c,35,基本面加速,76.97475693847106,65.29505546217703,72.41210141233782,60.37337085612657,80.29955536364159
000155,5920e81897b3,36,基本面加速,80.31667908805993,67.68698219924255,64.77383826035827,40.400175148740004,80.28552075413936
600227,7aba8a8e370c,37,基本面加速,78.2347963098297,60.281171649935004,75.47104035943435,65.88833996345257,80.07532635217483
000886,8b1fc290bbfe,38,资本事件,61.533244951539345,57.82515014371765,69.67643104840212,80.6983861691095,80.06337747232936
688620,b6e5da6417f5,39,资本事件,77.20403980494027,65.21072397088362,70.61951050400754,77.33717151265348,79.93486584427602
002585,6dd91b1db28c,40,周期拐点,73.36687681522871,59.33778187470966,76.90078950142562,36.799867716998776,79.89264469556201
601500,116050108924,41,周期拐点,75.53224650370855,62.57404951049611,75.8972943409248,71.38762750675734,79.69139092030997
688469,f57873282957,42,基本面加速,79.3315528599559,66.78990696393886,64.85230855066855,79.05262796804836,79.64016411405395
688758,1ae3da84bf34,43,资本事件,75.80299079070348,61.65061959983912,60.21510961592921,78.16390454434172,79.61069091079818
600717,9b7a7ac8e200,44,资本事件,60.494740240782505,52.89187809117396,68.75130047826669,82.75808003897546,79.61026989379644
301536,bbc2211e0329,45,基本面加速,80.09800223326397,60.42043560187853,55.241342007833694,75.37348951153695,79.60042381030942
600490,60baf0606990,46,资本事件,72.3148350375815,53.093077811595215,64.9224126170528,78.63857992683799,79.52748025538698
920174,ecdae9e50c4c,47,资本事件,74.02103539444646,67.13264179953175,60.921858463242685,76.0960477349033,79.4941615174084
301071,59f75087d45a,48,基本面加速,78.59559850214585,67.03931379607477,64.56496801773643,35.588080370257906,79.33071237608063
000990,f2adec5b18ab,49,周期拐点,73.6077048004689,58.7800185052227,79.38236883144842,40.40882141976081,79.2448881616126
688202,ef4f4c07c2ce,50,基本面加速,77.41286406235139,62.31887101557893,67.65669654441773,51.840411272738294,79.18687416794727
688678,2ec786ddc02f,51,基本面加速,75.90025969520875,61.24171308198694,72.21214071380639,64.87412139960877,79.1363205764646
600676,a4642cc7d663,52,周期拐点,65.28687770325517,57.77194739302506,79.61955910748037,69.11567154236197,79.07138707994433
300191,e229d9268eb5,53,基本面加速,78.29955606179881,58.30504873128732,64.16263472168096,53.99850102080167,79.06758430596128
601828,b854534af832,54,周期拐点,67.54847519525383,54.857137538139554,78.04541165371285,61.90419682466241,79.06271463610673
600037,df2f8e87a12b,55,周期拐点,68.6098513422384,56.89973728868459,76.0281839698516,63.442904149906454,79.04656824202715
002805,3e85592744d4,56,基本面加速,79.84228102403027,61.16381724409844,67.20128810640085,47.81287649387416,79.01866061888715
002292,164a0b1ffe03,57,基本面加速,75.59088831897917,61.07294465646318,70.39160992711835,57.660845775181926,79.00804980622163
603605,af60fcadc011,58,资本事件,68.02883178518734,51.60667731106595,61.50593008542876,83.1608454196729,78.99461497739729
605090,8212659363d4,59,资本事件,69.73748804489914,57.45968498202589,67.03773939949926,79.76870850779176,78.97381244663951
002274,435053bdf681,60,基本面加速,78.31871277321754,58.07672629593238,76.9269249123281,65.4080194686599,78.96612431404264
603353,29b83878e9cc,61,资本事件,72.35599501546642,55.22394948540202,64.92523338731925,78.43207829562557,78.96176668681119
688045,8696cd4780b1,62,资本事件,69.80042167266927,51.33966749566622,59.92890673009277,78.26171812804817,78.88854604162574
603871,468c4ab9fafe,63,资本事件,68.87142769480083,54.2983533478389,59.78924714154641,80.87401764415655,78.8745797286255
