security_code,security_name,secucode,org_code,security_type_code,security_type,trade_market_code,trade_market,exchange,board,industry,report_period,report_date,announcement_date,update_date,basic_eps,book_value_per_share,revenue_cny,revenue_yoy_pct,revenue_qoq_pct,parent_net_profit_cny,parent_net_profit_yoy_pct,parent_net_profit_qoq_pct,weighted_roe_pct,operating_cash_flow_per_share,gross_margin_pct,profit_distribution_description,disclosure_status,source_name,source_page_url,source_api_report,research_stage,fundamental_acceleration_status,new_profit_pool_status,cyclical_turn_status,capital_event_status,announcement_review_status,peer_comparison_status,data_quality_flag
600531,豫光金铅,600531.SH,10002611,058001001,A股,069001001001,上交所主板,SSE,Main Board,,2026H1,2026-06-30,2026-08-27,2026-08-27,0.45,5.849790374606,34273464534.64,52.7294852476,9.5699,545014564.92,12.46,-1.7269,7.86,-1.362491652992,6.2353816468,不分配不转增,disclosed,Eastmoney Data Center / Choice public web aggregation,https://data.eastmoney.com/bbsj/202606/yjbb.html,RPT_LICO_FN_CPD,stage_0_raw_archive,pending,pending,pending,pending,pending,pending,ok
600533,栖霞建设,600533.SH,10002613,058001001,A股,069001001001,上交所主板,SSE,Main Board,,2026H1,2026-06-30,2026-08-27,2026-08-27,-0.5975,0.678438550533,781541320.8,-79.6671851378,-45.7533,-627423052.18,-1048,-934.6282,-59.94,-0.141117465867,13.1782731432,不分配不转增,disclosed,Eastmoney Data Center / Choice public web aggregation,https://data.eastmoney.com/bbsj/202606/yjbb.html,RPT_LICO_FN_CPD,stage_0_raw_archive,pending,pending,pending,pending,pending,pending,ok
600535,天士力,600535.SH,10002614,058001001,A股,069001001001,上交所主板,SSE,Main Board,,2026H1,2026-06-30,2026-08-22,2026-08-22,0.6,8.752809659691,4201053774.07,-2.0324355732,-5.9378,892682203.1,15.23,41.108,6.98,0.783393007847,69.562369808,10派2.40元(含税),disclosed,Eastmoney Data Center / Choice public web aggregation,https://data.eastmoney.com/bbsj/202606/yjbb.html,RPT_LICO_FN_CPD,stage_0_raw_archive,pending,pending,pending,pending,pending,pending,ok
600536,中国软件,600536.SH,10002615,058001001,A股,069001001001,上交所主板,SSE,Main Board,,2026H1,2026-06-30,2026-08-26,2026-08-26,-0.01,3.842831093555,1792323788.73,-20.0521392238,52.6201,-12401905.94,83.35900985,183.1762,-0.35,-0.977867565112,49.8306949367,不分配不转增,disclosed,Eastmoney Data Center / Choice public web aggregation,https://data.eastmoney.com/bbsj/202606/yjbb.html,RPT_LICO_FN_CPD,stage_0_raw_archive,pending,pending,pending,pending,pending,pending,ok
600537,*ST亿晶,600537.SH,10005852,058001001,A股,069001001003,上交所风险警示板,SSE,Risk Warning Board,,2026H1,2026-06-30,2026-08-27,2026-08-27,-0.11,-0.179479101202,339315920.68,-71.2695692448,-0.3907,-132475151.99,13.1329476094,-2.3067,,0.060703701835,-12.0147468024,不分配不转增,disclosed,Eastmoney Data Center / Choice public web aggregation,https://data.eastmoney.com/bbsj/202606/yjbb.html,RPT_LICO_FN_CPD,stage_0_raw_archive,pending,pending,pending,pending,pending,pending,ok
600538,国发股份,600538.SH,10002616,058001001,A股,069001001001,上交所主板,SSE,Main Board,,2026H1,2026-06-30,2026-08-22,2026-08-22,-0.02,1.290451209301,159539456.38,3.779151103,-6.9603,-11324120.21,-93.8487303351,50.0066,-1.66,-0.053455581035,23.4143906828,不分配不转增,disclosed,Eastmoney Data Center / Choice public web aggregation,https://data.eastmoney.com/bbsj/202606/yjbb.html,RPT_LICO_FN_CPD,stage_0_raw_archive,pending,pending,pending,pending,pending,pending,ok
600539,狮头股份,600539.SH,10002617,058001001,A股,069001001001,上交所主板,SSE,Main Board,,2026H1,2026-06-30,2026-08-27,2026-08-27,0.0029,1.307042560217,242543996.75,6.9800463518,12.5743,663493.64,18.03,-73.9247,0.221,-0.027483150261,33.0680170009,不分配不转增,disclosed,Eastmoney Data Center / Choice public web aggregation,https://data.eastmoney.com/bbsj/202606/yjbb.html,RPT_LICO_FN_CPD,stage_0_raw_archive,pending,pending,pending,pending,pending,pending,ok
600540,新赛股份,600540.SH,10007175,058001001,A股,069001001001,上交所主板,SSE,Main Board,,2026H1,2026-06-30,2026-08-27,2026-08-27,0.2152,0.805156732957,2570847158.51,77.1503537672,-20.656,125109148.69,1819.68,99.172,30.8496,4.163063096859,8.6905465446,不分配不转增,disclosed,Eastmoney Data Center / Choice public web aggregation,https://data.eastmoney.com/bbsj/202606/yjbb.html,RPT_LICO_FN_CPD,stage_0_raw_archive,pending,pending,pending,pending,pending,pending,ok
600543,*ST莫高,600543.SH,10007191,058001001,A股,069001001003,上交所风险警示板,SSE,Risk Warning Board,,2026H1,2026-06-30,2026-08-29,2026-08-29,-0.089,2.098312252647,176156664.26,45.7991575632,-27.2217,-28570450.7,10.3377070712,-118.6655,-4.15,-0.127595670061,11.4955823642,不分配不转增,disclosed,Eastmoney Data Center / Choice public web aggregation,https://data.eastmoney.com/bbsj/202606/yjbb.html,RPT_LICO_FN_CPD,stage_0_raw_archive,pending,pending,pending,pending,pending,pending,ok
600545,卓郎智能,600545.SH,10007171,058001001,A股,069001001001,上交所主板,SSE,Main Board,,2026H1,2026-06-30,2026-08-28,2026-08-28,-0.0429,1.404118882809,1922397000,15.4393807194,43.7533,-76658000,61.9011172518,-54.7454,-2.89,0.099687232929,8.2556308608,不分配不转增,disclosed,Eastmoney Data Center / Choice public web aggregation,https://data.eastmoney.com/bbsj/202606/yjbb.html,RPT_LICO_FN_CPD,stage_0_raw_archive,pending,pending,pending,pending,pending,pending,ok
