security_code,security_name,exchange,board,industry,report_period,report_date,announcement_date,update_date,basic_eps,book_value_per_share,revenue_cny,revenue_yoy_pct,revenue_qoq_pct,parent_net_profit_cny,parent_net_profit_yoy_pct,parent_net_profit_qoq_pct,weighted_roe_pct,operating_cash_flow_per_share,gross_margin_pct,profit_distribution_description,disclosure_status,source_name,source_page_url,source_api_report,research_stage,fundamental_acceleration_status,new_profit_pool_status,cyclical_turn_status,capital_event_status,announcement_review_status,peer_comparison_status,data_quality_flag
000153,丰原药业,SZSE,Main Board,,2026H1,2026-06-30,2026-08-28,2026-08-28,0.1534,4.654693630179,1671360364.24,-17.550978051,-0.058,71286563.34,-6.54,-7.3688,3.3,0.180062243385,22.3782210696,不分配不转增,disclosed,Eastmoney Data Center / Choice public web aggregation,https://data.eastmoney.com/bbsj/202606/yjbb.html,RPT_LICO_FN_CPD,stage_0_raw_archive,pending,pending,pending,pending,pending,pending,ok
000155,川能动力,SZSE,Main Board,,2026H1,2026-06-30,2026-08-25,2026-08-25,0.38,6.058669662401,3340365493.96,124.7807166938,73.5989,706033602.6,130.73,64.6383,6.52,0.2515017819,53.5602894858,10派2.60元(含税),disclosed,Eastmoney Data Center / Choice public web aggregation,https://data.eastmoney.com/bbsj/202606/yjbb.html,RPT_LICO_FN_CPD,stage_0_raw_archive,pending,pending,pending,pending,pending,pending,ok
000156,华数传媒,SZSE,Main Board,,2026H1,2026-06-30,2026-08-29,2026-08-29,0.1134,8.084904047953,4240319395.51,-4.3940691389,10.4332,210166102.2,-17.25,-13.3832,1.39,-0.375636913664,29.2611018918,不分配不转增,disclosed,Eastmoney Data Center / Choice public web aggregation,https://data.eastmoney.com/bbsj/202606/yjbb.html,RPT_LICO_FN_CPD,stage_0_raw_archive,pending,pending,pending,pending,pending,pending,ok
000157,中联重科,SZSE,Main Board,,2026H1,2026-06-30,2026-08-28,2026-08-28,0.24,6.660413154766,27135030851.85,9.1749452105,9.5013,2102189130.77,-23.97,37.7598,3.53,0.279762638035,26.8219459108,不分配不转增,disclosed,Eastmoney Data Center / Choice public web aggregation,https://data.eastmoney.com/bbsj/202606/yjbb.html,RPT_LICO_FN_CPD,stage_0_raw_archive,pending,pending,pending,pending,pending,pending,ok
000158,常山北明,SZSE,Main Board,,2026H1,2026-06-30,2026-08-29,2026-08-29,-0.0709,3.281982042743,3697485893.82,-0.645326573,79.3299,-113396318.23,-21.94,88.3704,-2.12,-0.836422769251,10.7294307514,不分配不转增,disclosed,Eastmoney Data Center / Choice public web aggregation,https://data.eastmoney.com/bbsj/202606/yjbb.html,RPT_LICO_FN_CPD,stage_0_raw_archive,pending,pending,pending,pending,pending,pending,ok
000159,国际实业,SZSE,Main Board,,2026H1,2026-06-30,2026-08-29,2026-08-29,0.0317,4.281236280771,922366264.39,-2.4759650063,4.932,15259805.7,-38.39,9.2222,0.74,-0.552261626833,13.2755533292,不分配不转增,disclosed,Eastmoney Data Center / Choice public web aggregation,https://data.eastmoney.com/bbsj/202606/yjbb.html,RPT_LICO_FN_CPD,stage_0_raw_archive,pending,pending,pending,pending,pending,pending,ok
000166,申万宏源,SZSE,Main Board,,2026H1,2026-06-30,2026-08-28,2026-08-28,0.23,4.592023642323,13836472563.33,18.3060952008,33.4017,5730431558.07,33.76,43.2206,5.02,-0.396549611128,,10派0.50元(含税),disclosed,Eastmoney Data Center / Choice public web aggregation,https://data.eastmoney.com/bbsj/202606/yjbb.html,RPT_LICO_FN_CPD,stage_0_raw_archive,pending,pending,pending,pending,pending,pending,ok
000301,东方盛虹,SZSE,Main Board,,2026H1,2026-06-30,2026-08-29,2026-08-29,0.68,5.729842354832,69924386581.16,14.7874219032,18.3608,4500151589.93,1065.1,114.1623,12.39,2.743109473461,20.3029245888,不分配不转增,disclosed,Eastmoney Data Center / Choice public web aggregation,https://data.eastmoney.com/bbsj/202606/yjbb.html,RPT_LICO_FN_CPD,stage_0_raw_archive,pending,pending,pending,pending,pending,pending,ok
000333,美的集团,SZSE,Main Board,,2026H1,2026-06-30,2026-08-29,2026-08-29,3.52,27.816806307898,261052379000,3.4561222865,-1.6031,26446037000,1.66,8.6545,11.33,4.932342664071,25.2557645483,10派5.00元(含税),disclosed,Eastmoney Data Center / Choice public web aggregation,https://data.eastmoney.com/bbsj/202606/yjbb.html,RPT_LICO_FN_CPD,stage_0_raw_archive,pending,pending,pending,pending,pending,pending,ok
000338,潍柴动力,SZSE,Main Board,,2026H1,2026-06-30,2026-08-28,2026-08-28,0.89,11.094442857566,123162965227.85,8.847564221,-3.1383,7701265423.95,36.46,49.5983,8,1.310234921723,21.463923593,10派5.17元(含税),disclosed,Eastmoney Data Center / Choice public web aggregation,https://data.eastmoney.com/bbsj/202606/yjbb.html,RPT_LICO_FN_CPD,stage_0_raw_archive,pending,pending,pending,pending,pending,pending,ok
000400,许继电气,SZSE,Main Board,,2026H1,2026-06-30,2026-08-20,2026-08-20,0.4096,12.136703481557,6525206200.08,1.2099981405,74.4276,415877522.54,-34.4,174.5085,3.4,-0.305170636146,19.8958216746,10派1.64元(含税),disclosed,Eastmoney Data Center / Choice public web aggregation,https://data.eastmoney.com/bbsj/202606/yjbb.html,RPT_LICO_FN_CPD,stage_0_raw_archive,pending,pending,pending,pending,pending,pending,ok
000401,金隅冀东,SZSE,Main Board,,2026H1,2026-06-30,2026-08-28,2026-08-28,-0.3646,9.768141790221,9641843394.95,-18.0169611379,119.8673,-957447011.62,-523.24,103.7193,-3.51,0.122299260835,14.3968426643,不分配不转增,disclosed,Eastmoney Data Center / Choice public web aggregation,https://data.eastmoney.com/bbsj/202606/yjbb.html,RPT_LICO_FN_CPD,stage_0_raw_archive,pending,pending,pending,pending,pending,pending,ok
000402,金融街,SZSE,Main Board,,2026H1,2026-06-30,2026-08-26,2026-08-26,-0.03,6.497948458495,4613302213.63,-0.8899703309,-33.0721,-86540011.02,91.41,-225.0835,-0.45,0.196510799348,25.9199661032,不分配不转增,disclosed,Eastmoney Data Center / Choice public web aggregation,https://data.eastmoney.com/bbsj/202606/yjbb.html,RPT_LICO_FN_CPD,stage_0_raw_archive,pending,pending,pending,pending,pending,pending,ok
000403,派林生物,SZSE,Main Board,,2026H1,2026-06-30,2026-08-24,2026-08-24,0.09,8.476719702184,829843121.92,-15.878514234,41.9937,84300956.84,-64.25,167.0232,1.04,-0.088249146805,32.9168503955,10派1.50元(含税),disclosed,Eastmoney Data Center / Choice public web aggregation,https://data.eastmoney.com/bbsj/202606/yjbb.html,RPT_LICO_FN_CPD,stage_0_raw_archive,pending,pending,pending,pending,pending,pending,ok
000404,长虹华意,SZSE,Main Board,,2026H1,2026-06-30,2026-08-13,2026-08-13,0.3578,6.165391788161,5808608379.31,-12.3611556485,-8.3659,250573246.37,-2.6,17.1821,5.66,0.610261468709,14.331329931,不分配不转增,disclosed,Eastmoney Data Center / Choice public web aggregation,https://data.eastmoney.com/bbsj/202606/yjbb.html,RPT_LICO_FN_CPD,stage_0_raw_archive,pending,pending,pending,pending,pending,pending,ok
000407,胜利股份,SZSE,Main Board,,2026H1,2026-06-30,2026-08-15,2026-08-15,0.1143,3.543235756902,2002635461.2,-7.2117152244,-2.2409,100585129.03,13.73,79.4662,3.26,0.002135398506,13.4675850541,10派0.15元(含税),disclosed,Eastmoney Data Center / Choice public web aggregation,https://data.eastmoney.com/bbsj/202606/yjbb.html,RPT_LICO_FN_CPD,stage_0_raw_archive,pending,pending,pending,pending,pending,pending,ok
000408,藏格矿业,SZSE,Main Board,,2026H1,2026-06-30,2026-08-11,2026-08-11,2.32,10.960867806225,2064878029.42,23.0454935619,88.5393,3638081370.05,102.09,31.1749,21.19,0.627285779926,66.689523214,"10派10.00元(含税,扣税后9.00元)",disclosed,Eastmoney Data Center / Choice public web aggregation,https://data.eastmoney.com/bbsj/202606/yjbb.html,RPT_LICO_FN_CPD,stage_0_raw_archive,pending,pending,pending,pending,pending,pending,ok
000409,云鼎科技,SZSE,Main Board,,2026H1,2026-06-30,2026-08-28,2026-08-28,0.0556,2.455527037542,531461574.16,-16.8898193179,27.1663,37141588.99,-11.33,-12.0119,2.24,-0.326963829071,30.3483735912,不分配不转增,disclosed,Eastmoney Data Center / Choice public web aggregation,https://data.eastmoney.com/bbsj/202606/yjbb.html,RPT_LICO_FN_CPD,stage_0_raw_archive,pending,pending,pending,pending,pending,pending,ok
000410,沈阳机床,SZSE,Main Board,,2026H1,2026-06-30,2026-08-29,2026-08-29,-0.0073,1.582444795756,1862697533.85,-1.4066878255,28.9565,-19452050.45,-148.21,142.5098,-0.46,-0.067681541702,11.1728873732,不分配不转增,disclosed,Eastmoney Data Center / Choice public web aggregation,https://data.eastmoney.com/bbsj/202606/yjbb.html,RPT_LICO_FN_CPD,stage_0_raw_archive,pending,pending,pending,pending,pending,pending,ok
000411,英特集团,SZSE,Main Board,,2026H1,2026-06-30,2026-08-26,2026-08-26,0.35,9.771395156469,17152679354.05,3.1525201928,-0.4339,195202027.43,-21.45,43.5328,3.62,-0.521453421813,6.7005973508,不分配不转增,disclosed,Eastmoney Data Center / Choice public web aggregation,https://data.eastmoney.com/bbsj/202606/yjbb.html,RPT_LICO_FN_CPD,stage_0_raw_archive,pending,pending,pending,pending,pending,pending,ok
000415,渤海租赁,SZSE,Main Board,,2026H1,2026-06-30,2026-08-22,2026-08-22,0.5209,5.045907678218,23662922000,-16.8556088162,64.391,3204487000,258.73,153.1037,10.55,1.404505053827,33.6054313157,不分配不转增,disclosed,Eastmoney Data Center / Choice public web aggregation,https://data.eastmoney.com/bbsj/202606/yjbb.html,RPT_LICO_FN_CPD,stage_0_raw_archive,pending,pending,pending,pending,pending,pending,ok
000417,合百集团,SZSE,Main Board,,2026H1,2026-06-30,2026-08-28,2026-08-28,0.0774,6.104350231265,3190260762.1,-13.7878964216,-20.0889,60372488.48,-64.67,-106.0872,1.28,-0.107427117334,25.7499103675,不分配不转增,disclosed,Eastmoney Data Center / Choice public web aggregation,https://data.eastmoney.com/bbsj/202606/yjbb.html,RPT_LICO_FN_CPD,stage_0_raw_archive,pending,pending,pending,pending,pending,pending,ok
000419,通程控股,SZSE,Main Board,,2026H1,2026-06-30,2026-08-22,2026-08-22,0.1354,6.213521114429,852651546.87,-17.5191998964,11.2632,73587128.09,-11.64,62.2901,2.17,0.096309185031,25.8813492024,不分配不转增,disclosed,Eastmoney Data Center / Choice public web aggregation,https://data.eastmoney.com/bbsj/202606/yjbb.html,RPT_LICO_FN_CPD,stage_0_raw_archive,pending,pending,pending,pending,pending,pending,ok
000420,吉林化纤,SZSE,Main Board,,2026H1,2026-06-30,2026-08-27,2026-08-27,0.013,1.807835750354,2754017946.92,4.5122405877,11.241,32045961.28,45.22,-82.3986,0.72,-0.02649964844,11.0033724177,不分配不转增,disclosed,Eastmoney Data Center / Choice public web aggregation,https://data.eastmoney.com/bbsj/202606/yjbb.html,RPT_LICO_FN_CPD,stage_0_raw_archive,pending,pending,pending,pending,pending,pending,ok
000421,南京公用,SZSE,Main Board,,2026H1,2026-06-30,2026-08-24,2026-08-24,0.1435,4.849409138347,3678860938.23,28.3279792732,-55.2473,82439383.33,163.53,-86.1134,2.96,0.940613960672,13.9735670843,不分配不转增,disclosed,Eastmoney Data Center / Choice public web aggregation,https://data.eastmoney.com/bbsj/202606/yjbb.html,RPT_LICO_FN_CPD,stage_0_raw_archive,pending,pending,pending,pending,pending,pending,ok
000422,湖北宜化,SZSE,Main Board,,2026H1,2026-06-30,2026-08-12,2026-08-12,0.2935,5.634006455812,13391915759.47,11.5566705628,-1.7828,319334194.62,-19.94,-23.6997,5.15,1.431992582551,14.3374153008,10派0.50元(含税),disclosed,Eastmoney Data Center / Choice public web aggregation,https://data.eastmoney.com/bbsj/202606/yjbb.html,RPT_LICO_FN_CPD,stage_0_raw_archive,pending,pending,pending,pending,pending,pending,ok
000423,东阿阿胶,SZSE,Main Board,,2026H1,2026-06-30,2026-08-21,2026-08-21,1.34,15.877009486054,3155143496.5,3.3936375551,-26.0886,860377588.81,5.66,-10.8264,8.12,0.127483336944,74.8225662617,"10派13.44811元(含税,扣税后12.103299元)",disclosed,Eastmoney Data Center / Choice public web aggregation,https://data.eastmoney.com/bbsj/202606/yjbb.html,RPT_LICO_FN_CPD,stage_0_raw_archive,pending,pending,pending,pending,pending,pending,ok
000425,徐工机械,SZSE,Main Board,,2026H1,2026-06-30,2026-08-29,2026-08-29,0.35,5.512436278794,61247013848.13,11.7478385669,5.5919,3962016329.45,-9.09,-7.3362,6.33,0.355065760208,22.1186269023,10派0.45元(含税),disclosed,Eastmoney Data Center / Choice public web aggregation,https://data.eastmoney.com/bbsj/202606/yjbb.html,RPT_LICO_FN_CPD,stage_0_raw_archive,pending,pending,pending,pending,pending,pending,ok
000426,兴业银锡,SZSE,Main Board,,2026H1,2026-06-30,2026-08-29,2026-08-29,1.2745,6.498532582898,4281697008.56,73.1308206683,1.031,2263056168.41,184.42,-30.8213,21.32,1.18986484367,68.7527609771,10派1.00元(含税),disclosed,Eastmoney Data Center / Choice public web aggregation,https://data.eastmoney.com/bbsj/202606/yjbb.html,RPT_LICO_FN_CPD,stage_0_raw_archive,pending,pending,pending,pending,pending,pending,ok
000428,华天酒店,SZSE,Main Board,,2026H1,2026-06-30,2026-08-25,2026-08-25,-0.1111,1.203154246,240693808.65,-4.9203282162,1.1328,-113166152.93,-6.06,18.8966,-8.82,0.008460208043,9.0043607567,不分配不转增,disclosed,Eastmoney Data Center / Choice public web aggregation,https://data.eastmoney.com/bbsj/202606/yjbb.html,RPT_LICO_FN_CPD,stage_0_raw_archive,pending,pending,pending,pending,pending,pending,ok
000429,粤高速A,SZSE,Main Board,,2026H1,2026-06-30,2026-08-25,2026-08-25,0.41,5.060216485161,2118953007.1,0.0467540725,-3.4457,850129256.86,-19.58,-11.8708,7.41,0.817185392573,67.8744650542,不分配不转增,disclosed,Eastmoney Data Center / Choice public web aggregation,https://data.eastmoney.com/bbsj/202606/yjbb.html,RPT_LICO_FN_CPD,stage_0_raw_archive,pending,pending,pending,pending,pending,pending,ok
000430,张家界,SZSE,Main Board,,2026H1,2026-06-30,2026-08-18,2026-08-18,0.38,2.24783253184,211899572.99,9.3361688621,116.9499,308359133.18,1026.8,-99.2341,20.94,0.005456594416,21.9420937966,不分配不转增,disclosed,Eastmoney Data Center / Choice public web aggregation,https://data.eastmoney.com/bbsj/202606/yjbb.html,RPT_LICO_FN_CPD,stage_0_raw_archive,pending,pending,pending,pending,pending,pending,ok
000488,ST晨鸣,SZSE,Main Board,,2026H1,2026-06-30,2026-08-29,2026-08-29,-0.27,0.05309344446,6865428943.3,225.8961393216,30.298,-786475084.18,79.61,46.5328,-150.65,0.10985749255,-7.1936478591,不分配不转增,disclosed,Eastmoney Data Center / Choice public web aggregation,https://data.eastmoney.com/bbsj/202606/yjbb.html,RPT_LICO_FN_CPD,stage_0_raw_archive,pending,pending,pending,pending,pending,pending,ok
000498,山东路桥,SZSE,Main Board,,2026H1,2026-06-30,2026-08-26,2026-08-26,0.3447,11.612906707452,25356707615.81,-11.264480528,85.6934,730973092.51,-28.93,236.0043,3.15,-1.901673109733,13.768316435,10派0.2645元(含税),disclosed,Eastmoney Data Center / Choice public web aggregation,https://data.eastmoney.com/bbsj/202606/yjbb.html,RPT_LICO_FN_CPD,stage_0_raw_archive,pending,pending,pending,pending,pending,pending,ok
