code,name,industry,h1_revenue_100m,h1_revenue_growth_pct,h1_profit_100m,h1_deduct_100m,h1_deduct_growth_pct,h1_ocf_100m,cash_profit_ratio,deduct_to_reported,q2_profit_growth_pct,q2_profit_100m,q2_prior_loss,h1_roe_pct,gross_margin_change_pp,debt_ratio,ar_growth_pct,inventory_growth_pct,ttm_profit_100m,report_date,old_score_ignored,quote_name,price,previous_close,open,day_return_pct,high,low,turnover_cny,turnover_pct,vendor_pe,float_cap_100m,market_cap_100m,pb,quote_date,quote_timestamp,quote_source,pe_ttm_recomputed,finance_separate_model,cyclical_industry_proxy,screen_issues,financial_screen_pass,audit_rank_score,screen_rank,history_date,history_source,history_rows,hist_close,ma5,ma20,ma60,return5_pct,return20_pct,return60_pct,volume_to20,high20_close,low10_close,history_error,quote_history_match,announcement_titles_count,announcement_fulltext_reviewed,announcement_error,price_setup,tomorrow_buy_approved
603697,有友食品,休闲食品,10.337136192000001,34.08245171385169,1.2411943878,1.0670532804000001,15.002999665735107,1.9733692165999999,1.5898953749684364,0.8596987634558494,0.33289990993656815,0.583448147,False,6.82,-4.487043589900001,0.2867580268028939,39.28645630202505,-14.361733355693286,2.0120303818000003,2026-08-15 00:00:00,True,有友食品,9.93,9.63,9.6,3.12,10.03,9.59,78480000.0,1.85,21.11,42.47,42.47,2.34,2026-09-04,20260904161446,https://qt.gtimg.cn/q=sh603697,21.108031163031214,False,False,,True,38.55,137,,,,,,,,,,,,,,,,,,,,
605599,菜百股份,饰品,210.42253790740003,38.001451721012145,4.3677923485,4.813914022,21.716382406942934,4.0108604406,0.9182809347558433,1.1021389383708244,-72.36647880569218,0.3841621873000002,False,9.19,-1.0650520122999998,0.49511120952019394,-35.220834065492525,19.426519625358086,11.1115801976,2026-08-26 00:00:00,True,菜百股份,14.9,14.82,14.99,0.54,15.2,14.81,87700000.0,0.75,10.43,115.89,115.89,2.62,2026-09-04,20260904161454,https://qt.gtimg.cn/q=sh605599,10.429659682880315,False,False,,True,38.51,138,,,,,,,,,,,,,,,,,,,,
601038,一拖股份,专用设备,78.8632120298,13.838358080228264,7.8228791586,8.5346145156,23.38927213126032,10.6089293674,1.3561412815302387,1.0909812541610797,-8.249713856938701,2.1977562487999998,False,9.76,0.5742295187999993,0.4917321888688263,29.837233836627842,-3.1226071019945234,8.2520593454,2026-08-26 00:00:00,True,一拖股份,14.59,14.69,14.69,-0.68,14.81,14.5,113560000.0,1.06,19.87,106.76,163.94,1.99,2026-09-04,20260904161444,https://qt.gtimg.cn/q=sh601038,19.866556108977353,False,False,,True,38.41,139,,,,,,,,,,,,,,,,,,,,
601330,绿色动力,环境治理,18.7665411071,11.448614418339709,4.645868962200001,4.6320968778,23.263655087134527,7.0540109241,1.5183404830169058,0.9970356278853205,34.21787782167161,2.5805987594000004,False,5.46,0.41891041430000087,0.6025479984987463,5.632904447951104,6.987283386320353,7.0485520145,2026-08-29 00:00:00,True,绿色动力,7.92,7.9,7.9,0.25,8.0,7.79,156410000.0,2.0,16.07,78.34,113.29,1.38,2026-09-04,20260904161440,https://qt.gtimg.cn/q=sh601330,16.072804707540545,False,False,,True,37.98,140,,,,,,,,,,,,,,,,,,,,
000338,潍柴动力,汽车零部件,1231.6296522785,8.847564221031124,77.0126542395,61.188890763100005,18.85564871533514,113.49444379450001,1.4737116246058222,0.7945303452704018,57.38066598077292,46.1580145575,False,8.0,-0.7156879491000012,0.6448880194430439,2.3761191356939104,7.424927468202114,129.8831688607,2026-08-28 00:00:00,True,潍柴动力,26.85,26.18,26.87,2.56,27.56,26.66,2669320000.0,1.99,17.86,1330.79,2319.9,2.42,2026-09-04,20260904161442,https://qt.gtimg.cn/q=sz000338,17.861436707693034,False,False,,True,37.92,141,,,,,,,,,,,,,,,,,,,,
002757,南兴股份,专用设备,18.0334491345,12.146529242723458,0.7895632311,0.7140658403,26.325201586710676,1.8917773488,2.3959795419607146,0.9043808173604806,114.03231275822021,0.35530146420000003,False,3.86,-0.12024071000000092,0.4555236197805985,36.38071670207501,18.08197388021089,1.3917637198,2026-08-29 00:00:00,True,南兴股份,18.09,18.05,18.5,0.22,19.13,17.88,761090000.0,14.45,38.4,51.41,53.45,2.61,2026-09-04,20260904161424,https://qt.gtimg.cn/q=sz002757,38.40450734531355,False,False,,True,37.92,142,,,,,,,,,,,,,,,,,,,,
002145,钛能化学,化学原料,45.5733621966,20.88912443653004,4.197527722699999,3.6406541722,65.19852617371637,3.553659248,0.8466076897555687,0.8673329666202184,152.4527725380858,3.1586689324,False,3.43,1.9950059518999996,0.3781146779928174,33.13694304480907,27.702747409636984,5.173574842000001,2026-08-05 00:00:00,True,钛能化学,4.28,4.31,4.31,-0.7,4.35,4.27,169090000.0,1.03,31.49,162.92,162.93,1.24,2026-09-04,20260904161457,https://qt.gtimg.cn/q=sz002145,31.49273084392349,False,True,,True,37.53,143,,,,,,,,,,,,,,,,,,,,
688617,惠泰医疗,医疗器械,15.263517457699999,25.749347161027902,5.373191198,5.2877150505,28.711008391631765,5.492851829,1.0222699372850421,0.9840921075855601,27.218413177060484,3.0788038268999993,False,15.96,-0.5315246803999969,0.13787261361137695,-13.022165567808742,11.727879181779688,9.3279472102,2026-08-20 00:00:00,True,惠泰医疗,251.41,244.04,244.04,3.02,253.78,244.01,374300000.0,1.06,38.15,355.82,355.82,11.53,2026-09-04,20260904161440,https://qt.gtimg.cn/q=sh688617,38.14558465885346,False,False,,True,37.41,144,,,,,,,,,,,,,,,,,,,,
300833,浩洋股份,专用设备,5.829953077000001,11.761393495170758,0.9036216491,0.8644053079999999,18.812638889553313,1.3364039586,1.4789419442651113,0.9566009279004557,99.20650946287184,0.48786763089999996,False,3.65,6.1696081702,0.09686384213891609,20.524087602107667,-6.661967771061139,1.8467163004000002,2026-08-28 00:00:00,True,浩洋股份,40.76,40.98,40.97,-0.54,41.65,40.72,40950000.0,1.22,27.92,33.12,51.56,2.11,2026-09-04,20260904161439,https://qt.gtimg.cn/q=sz300833,27.919827202928822,False,False,,True,37.34,145,,,,,,,,,,,,,,,,,,,,
002430,杭氧股份,化学制品,86.92254900799999,18.629686183007443,5.6324376637,5.3468309289,15.862892201674605,11.8885016031,2.1107204931390813,0.9492925174049095,17.79616195261784,2.9813768703999997,False,5.62,0.30565930299999877,0.529243571576001,23.03842986504778,-19.966519786615645,10.3292554052,2026-08-28 00:00:00,True,杭氧股份,27.29,27.67,27.67,-1.37,28.39,27.19,661270000.0,2.44,25.85,266.88,266.99,2.65,2026-09-04,20260904161500,https://qt.gtimg.cn/q=sz002430,25.84794252116089,False,True,,True,36.74,146,,,,,,,,,,,,,,,,,,,,
