code,name,industry,h1_revenue_100m,h1_revenue_growth_pct,h1_profit_100m,h1_deduct_100m,h1_deduct_growth_pct,h1_ocf_100m,cash_profit_ratio,deduct_to_reported,q2_profit_growth_pct,q2_profit_100m,q2_prior_loss,h1_roe_pct,gross_margin_change_pp,debt_ratio,ar_growth_pct,inventory_growth_pct,ttm_profit_100m,report_date,old_score_ignored,quote_name,price,previous_close,open,day_return_pct,high,low,turnover_cny,turnover_pct,vendor_pe,float_cap_100m,market_cap_100m,pb,quote_date,quote_timestamp,quote_source,pe_ttm_recomputed,finance_separate_model,cyclical_industry_proxy,screen_issues,financial_screen_pass,audit_rank_score,screen_rank,history_date,history_source,history_rows,hist_close,ma5,ma20,ma60,return5_pct,return20_pct,return60_pct,volume_to20,high20_close,low10_close,history_error,quote_history_match,announcement_titles_count,announcement_fulltext_reviewed,announcement_error,price_setup,tomorrow_buy_approved
600380,健康元,化学制药,65.8279594002,-16.655832331629295,6.4765414646,6.0392451104,-21.549204934546783,20.4247850151,3.1536561800367413,0.9324799576146914,-33.35762059906857,2.3268292414000005,False,4.21,-3.505819537599997,0.31571305678617007,-14.204962325708237,3.877660930193483,11.9826196387,2026-08-25 00:00:00,True,健康元,9.16,9.12,9.15,0.44,9.23,9.1,110700000.0,0.66,13.99,167.58,167.58,1.1,2026-09-04,20260904161452,https://qt.gtimg.cn/q=sh600380,13.985255733126222,False,False,revenue_growth_below5_or_missing;deduct_growth_below15_or_lowbase,False,,,,,,,,,,,,,,,,,,,,,,
600381,*ST春天,食品加工,0.5909903555,-52.67336796729135,-0.36095765469999996,-0.38372574,,-0.2264534991,,,,-0.1981993225,True,-3.69,-19.362553002299997,0.03308591856478597,45.51598629947169,-23.486005256215815,-0.7473312703999999,2026-08-31 00:00:00,True,*ST春天,4.31,4.33,4.3,-0.46,4.38,4.26,18690000.0,0.74,-33.86,25.3,25.3,2.64,2026-09-04,20260904161454,https://qt.gtimg.cn/q=sh600381,,False,False,risk_warning_name;low_or_missing_liquidity;deduct_profit_below30m;loss_or_missing_profit;cash_conversion_below0.8_or_missing;large_nonrecurring_gap_or_missing;high_or_invalid_ttm_pe;revenue_growth_below5_or_missing;deduct_growth_below15_or_lowbase;receivables_outrun_sales,False,,,,,,,,,,,,,,,,,,,,,,
600382,广东明珠,冶钢原料,4.0614936015,8.608694963642428,1.0270569168,1.0998861568,-7.3935033133375905,1.9068389513,1.856604945752311,1.0709106173267533,-28.530953655223236,0.4398912324000001,False,3.3,-9.782904021299998,0.0807832678553454,-48.27666785745611,22.040197860454768,1.7141328037999999,2026-08-27 00:00:00,True,广东明珠,6.56,6.57,6.61,-0.15,6.68,6.5,75940000.0,1.77,24.81,42.53,42.53,1.49,2026-09-04,20260904161446,https://qt.gtimg.cn/q=sh600382,24.81137978674509,False,False,deduct_growth_below15_or_lowbase,False,,,,,,,,,,,,,,,,,,,,,,
600383,金地集团,房地产开发,125.41293757049999,-20.00846681629299,-27.5206925868,-31.2672599761,,7.8683037862,,,,-20.724516631099995,True,-6.24,3.7094740696000006,0.6420843372145807,-6.806656275656575,-30.04142827883158,-123.3192436734,2026-08-29 00:00:00,True,金地集团,2.39,2.31,2.31,3.46,2.45,2.3,411050000.0,3.81,-0.87,107.9,107.9,0.25,2026-09-04,20260904161444,https://qt.gtimg.cn/q=sh600383,,False,False,deduct_profit_below30m;loss_or_missing_profit;cash_conversion_below0.8_or_missing;large_nonrecurring_gap_or_missing;high_or_invalid_ttm_pe;revenue_growth_below5_or_missing;deduct_growth_below15_or_lowbase,False,,,,,,,,,,,,,,,,,,,,,,
600386,北巴传媒,汽车服务,12.9946464055,-32.454297093553144,-0.25622294100000004,-0.26671898969999996,-833.1494879079038,1.4570564083000002,,,-212.28622332487976,-0.162656974,False,-1.54,1.1456050939000004,0.5215346012770516,-22.861141632700686,-17.707377115682032,-0.42428369150000006,2026-08-27 00:00:00,True,北巴传媒,3.56,3.53,3.55,0.85,3.6,3.53,28150000.0,0.98,-67.66,28.71,28.71,1.75,2026-09-04,20260904161446,https://qt.gtimg.cn/q=sh600386,,False,False,deduct_profit_below30m;loss_or_missing_profit;cash_conversion_below0.8_or_missing;large_nonrecurring_gap_or_missing;high_or_invalid_ttm_pe;revenue_growth_below5_or_missing;deduct_growth_below15_or_lowbase,False,,,,,,,,,,,,,,,,,,,,,,
600388,紫金龙净,环保设备Ⅱ,53.8417827275,14.961927712992985,5.5690510724,5.2229020660000005,25.4204455013306,-0.6203716404999999,-0.1113962921932136,0.9378441673635387,20.133071852833794,3.1275041501999996,False,5.02,1.1245517037,0.6322603505116896,21.563444823094358,-1.977075923391114,12.237392104300001,2026-08-15 00:00:00,True,紫金龙净,19.01,18.17,18.31,4.62,19.19,18.23,568980000.0,2.37,21.94,241.44,268.48,2.08,2026-09-04,20260904161431,https://qt.gtimg.cn/q=sh600388,21.939314987354287,False,False,cash_conversion_below0.8_or_missing,False,,,,,,,,,,,,,,,,,,,,,,
600389,江山股份,农化制品,37.6000361671,11.935135952196552,3.4929986766,2.5892810203,-6.5181924760281955,0.011852136299999998,0.003393112164455951,0.7412774123408323,-8.927554453986975,1.6663530121000003,False,8.37,-1.2495275885000012,0.5591279348763943,13.765119092360134,51.83416304162787,5.434245423800001,2026-08-25 00:00:00,True,江山股份,18.71,18.65,18.78,0.32,19.28,18.53,214090000.0,2.64,14.83,80.57,80.57,1.87,2026-09-04,20260904161453,https://qt.gtimg.cn/q=sh600389,14.826345465946929,False,False,cash_conversion_below0.8_or_missing;large_nonrecurring_gap_or_missing;deduct_growth_below15_or_lowbase;inventory_outruns_sales,False,,,,,,,,,,,,,,,,,,,,,,
600390,五矿资本,多元金融,32.3040863003,-2.9979401568258734,10.751413698599999,11.007544169700001,109.60846175374459,6.4233632886,0.5974435984577937,1.0238229574528745,137.24067482678785,7.908367477199999,False,2.54,1.6976088237,0.6582828148328417,-32.15391358972812,-48.91072303136023,9.853476159299998,2026-08-27 00:00:00,True,五矿资本,5.03,5.01,5.03,0.4,5.09,5.01,184010000.0,0.81,22.96,226.25,226.25,0.53,2026-09-04,20260904161444,https://qt.gtimg.cn/q=sh600390,22.96143983526653,True,False,financial_requires_separate_model;cash_conversion_below0.8_or_missing;revenue_growth_below5_or_missing,False,,,,,,,,,,,,,,,,,,,,,,
600391,航发科技,航空装备Ⅱ,17.0273678409,2.6534843845667844,0.060460660199999995,-0.027407551699999998,-147.83786948147844,2.2192467962,36.70563286703906,-0.4533121472596821,161.68770794813145,0.1739380804,False,0.34,-0.04061372949999864,0.6428538315077681,3.4526850906761997,-15.109859200079557,0.5670777153000001,2026-08-27 00:00:00,True,航发科技,37.91,36.4,36.34,4.15,38.94,36.0,753490000.0,6.07,220.7,125.15,125.15,6.99,2026-09-04,20260904161443,https://qt.gtimg.cn/q=sh600391,220.69285500628806,False,False,deduct_profit_below30m;large_nonrecurring_gap_or_missing;high_or_invalid_ttm_pe;revenue_growth_below5_or_missing;deduct_growth_below15_or_lowbase,False,,,,,,,,,,,,,,,,,,,,,,
600392,盛和资源,小金属,87.5901892189,41.764861158682805,8.8661557386,8.7690901333,141.23182053455753,-6.3768686414,-0.7192371563740354,0.9890521204271868,168.14771321957434,5.5927673097,False,6.8,4.219676040300001,0.397199835126386,83.21408410770272,19.225351180273687,13.4872350348,2026-08-29 00:00:00,True,盛和资源,21.73,22.24,22.39,-2.29,22.57,21.61,922620000.0,2.38,28.24,380.89,380.89,2.92,2026-09-04,20260904161457,https://qt.gtimg.cn/q=sh600392,28.240777225074,False,True,cash_conversion_below0.8_or_missing;receivables_outrun_sales,False,,,,,,,,,,,,,,,,,,,,,,
